iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.10669320417528567,0.14113671179367282,0.034443507618387145,0.034443507618387145
21,0.010377930724339887,0.009299005698574442,-0.001078925025765445,-0.036546644588801774
41,0.0038553625865014388,0.0028766019877932963,-0.0009787605987081425,-0.05708892614560632
61,0.0012336168872402401,0.0005444193615574954,-0.0006891975256827447,-0.07443185109133482
81,0.00040846373361999225,9.06051645467857e-5,-0.00031785856907320655,-0.08394477096702677
101,0.00016181590664540724,1.8531676893623732e-5,-0.0001432842297517835,-0.0882162796193976
121,7.605043875225318e-5,4.897120437829305e-6,-7.115331831442387e-5,-0.09022825794411797
141,4.116373316945947e-5,1.5416880906403423e-6,-3.9622045078819124e-5,-0.09127924627768615
161,2.5390695617135168e-5,5.487740117674124e-7,-2.4841921605367757e-5,-0.09190195633820156
181,1.641080186999517e-5,1.9571477893191165e-7,-1.6215087091063256e-5,-0.09230184563247479
201,1.1389746171932704e-5,7.526633522870654e-8,-1.1314479836703998e-5,-0.09256962063435643
221,8.372643443431615e-6,3.621078308421735e-8,-8.336432660347399e-6,-0.09276319576643167
241,6.137428276202374e-6,1.2443232801978622e-8,-6.124985043400396e-6,-0.09290526782467244
261,4.7545617946825835e-6,7.335599704795934e-9,-4.747226194977788e-6,-0.09301232773925275
281,3.713446084266163e-6,3.6806535347539487e-9,-3.709765430731409e-6,-0.09309606351299535
301,2.936139744527231e-6,1.2880039304499238e-9,-2.9348517405967808e-6,-0.0931615876688052
321,2.3886959340695185e-6,1.3173790765460853e-9,-2.3873785549929726e-6,-0.09321432326083232
341,1.9404435886772166e-6,4.4850979843766445e-10,-1.939995078878779e-6,-0.09325718962246958
361,1.608682640575324e-6,4.0382753682053713e-10,-1.6082788130385034e-6,-0.09329234454506061
381,1.3443132487137855e-6,3.0604728005701293e-10,-1.3440072014337284e-6,-0.09332165955305724
401,1.1311330546584325e-6,1.3307033413135363e-10,-1.1309999843243012e-6,-0.09334621094877786
421,9.634899982903395e-7,1.5797371963608623e-10,-9.633320245707033e-7,-0.09336701453427977
