iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.10411470059956329,0.13331837874917268,0.02920367814960939,0.02920367814960939
21,0.012295023255652616,0.011471822226409325,-0.0008232010292432909,-0.03198501967701207
41,0.005175807532719474,0.004184723446666161,-0.0009910840860533126,-0.05130902236777893
61,0.0015537233553238388,0.0005506343698195846,-0.0010030889855042542,-0.07367584266987534
81,0.00034100998163793335,7.576571609119748e-6,-0.0003334334100288136,-0.08619662691088929
101,9.670033712748842e-5,3.02664595692705e-7,-9.639767253179572e-5,-0.08985394066672836
121,3.5391686297352384e-5,2.1610994535347873e-8,-3.537007530281704e-5,-0.09100084127337159
141,1.9316598184126377e-5,4.310945543868401e-9,-1.931228723858251e-5,-0.0915079216327887
161,1.4535746904826101e-5,4.718436917684873e-8,-1.4488562535649253e-5,-0.09183704299234384
181,1.1049471245969497e-5,6.075753966079966e-10,-1.1048863670572888e-5,-0.09208537193200851
201,9.239057996514784e-6,1.6924780189308347e-9,-9.237365518495853e-6,-0.09228609138438612
221,7.826641232619675e-6,5.9231741847742325e-9,-7.820718058434901e-6,-0.09245734806111539
241,6.443590187414352e-6,4.060709637339226e-10,-6.443184116450618e-6,-0.09259816320103051
261,5.474283711574993e-6,3.0756267664793815e-9,-5.471208084808514e-6,-0.09271624982216911
281,4.529757619011578e-6,5.937224118987493e-10,-4.529163896599679e-6,-0.09281572763159923
301,3.7983874460107365e-6,3.8561108933954847e-10,-3.798001834921397e-6,-0.09289831524129787
321,3.2108786626739904e-6,1.0151620594136107e-9,-3.2098635006145767e-6,-0.09296803496729965
341,2.691743782751022e-6,1.871072271607558e-10,-2.6915566755238613e-6,-0.09302656799781615
361,2.2867311629959767e-6,3.8255207341620873e-10,-2.2863486109225607e-6,-0.09307599003983687
381,1.941382135417789e-6,1.8515407586318084e-10,-1.941196981341926e-6,-0.09311800789415016
401,1.6603021033528414e-6,1.1738130682777838e-10,-1.6601847220460136e-6,-0.09315377526865905
421,1.43032056868111e-6,1.684741597848311e-10,-1.430152094521325e-6,-0.09318450509020562
441,1.2342204929768301e-6,8.566067065553608e-11,-1.2341348323061746e-6,-0.09321099071337903
461,1.0696117881656685e-6,8.319232977482462e-11,-1.0695285958358938e-6,-0.09323389878393146
481,9.299417496442274e-7,5.335241440596275e-11,-9.298883972298215e-7,-0.09325378438518346
501,8.123542253867627e-7,3.549308837447832e-11,-8.123187322983882e-7,-0.09327111393717548
521,7.130035414282025e-7,3.003484102620597e-11,-7.129735065871763e-7,-0.09328629056647368
541,6.286106836217198e-7,1.814649955489656e-11,-6.285925371221648e-7,-0.09329964046968942
561,5.574117410110289e-7,1.714276913322601e-11,-5.573945982418956e-7,-0.09331144447783994
581,4.974923084437078e-7,1.8170133267235528e-11,-4.974741383104405e-7,-0.09332194592097831
601,4.466552329877482e-7,2.616905865347515e-11,-4.4662906392909473e-7,-0.09333134948624425
621,4.011191086188541e-7,2.7356400486339793e-11,-4.0109175221836774e-7,-0.09333979658331126
641,3.5954156202851796e-7,1.7453702477441373e-11,-3.595241083260405e-7,-0.09334737539900967
661,3.229004082989502e-7,1.108383902129765e-11,-3.2288932445992887e-7,-0.0933541723337184
681,2.912139135742884e-7,7.0067279439920095e-12,-2.9120690684634444e-7,-0.09336028979107343
701,2.6380568394130124e-7,4.926537342996302e-12,-2.6380075740395823e-7,-0.09336581964673836
721,2.4002667931109036e-7,4.268686994373743e-12,-2.40022410624096e-7,-0.09337084032713742
741,2.196450406655487e-7,5.5414483291791146e-12,-2.1963949921721952e-7,-0.09337542109829028
761,2.0245690622468142e-7,1.004420577521084e-11,-2.0244686201890621e-7,-0.09337962855671815
781,1.8732600081505911e-7,1.6674346721363362e-11,-1.8730932646833774e-7,-0.09338351735391513
801,1.7226917373410756e-7,1.6079435635894063e-11,-1.7225309429847167e-7,-0.09338710481479356
821,1.5760815020324853e-7,9.345330109971318e-12,-1.5759880487313857e-7,-0.09339039516234372
841,1.4432383310505752e-7,5.0995233311503835e-12,-1.4431873358172637e-7,-0.09339340437808916
861,1.3296514424576157e-7,3.2631127759915284e-12,-1.329618811329856e-7,-0.09339616861143012
881,1.2310892770298316e-7,2.630742064578307e-12,-1.2310629696091857e-7,-0.09339872220820088
901,1.1452004404564348e-7,2.995610967918919e-12,-1.1451704843467556e-7,-0.09340109197483981
921,1.0731488798722834e-7,5.147312301387957e-12,-1.0730974067492695e-7,-0.09340330434521467
941,1.0125393284665687e-7,9.088931978063165e-12,-1.012448439146788e-7,-0.09340538544015246
961,9.527446028376652e-8,1.243819051745303e-11,-9.526202209324906e-8,-0.09340734885404543
981,8.876576060365381e-8,1.0208427603934706e-11,-8.875555217604988e-8,-0.09340918585601789
1001,8.212215518273118e-8,5.413272940863914e-12,-8.211674190979031e-8,-0.09341089109909942
1021,7.6242612967781e-8,2.9900800028046683e-12,-7.62396228877782e-8,-0.0934124697861629
1041,7.136785759924413e-8,2.1869410955500314e-12,-7.136567065814858e-8,-0.09341394209727825
1061,6.713501285554089e-8,2.1412845223749077e-12,-6.713287157101852e-8,-0.09341532402339253
1081,6.35575589709599e-8,3.0501276698567395e-12,-6.355450884329005e-8,-0.09341662785349582
1101,6.066986680390431e-8,5.326662828929406e-12,-6.066454014107538e-8,-0.09341786771193898
1121,5.805130703797202e-8,8.006311777704588e-12,-5.8043300726194316e-8,-0.0934190535595383
1141,5.497245311339893e-8,8.673530523731004e-12,-5.49637795828752e-8,-0.09342018319345666
1161,5.155136366140883e-8,6.1117366146897434e-12,-5.154525192479414e-8,-0.0934212469296
1181,4.80510197121086e-8,3.1472545068711802e-12,-4.804787245760173e-8,-0.09342224057998867
1201,4.516909849417621e-8,1.984638351996935e-12,-4.516711385582421e-8,-0.09342317012824389
1221,4.28048206834736e-8,1.7262567083707995e-12,-4.280309442676523e-8,-0.09342404806034302
1241,4.0784014747439595e-8,2.040364626257034e-12,-4.078197438281334e-8,-0.09342488225418226
1261,3.920451017457264e-8,3.288356870780704e-12,-3.920122181770186e-8,-0.09342568058586541
1281,3.786713545329057e-8,5.105949814011879e-12,-3.786202950347656e-8,-0.09342645046567008
1301,3.64018446486221e-8,6.336526032370596e-12,-3.639550812258973e-8,-0.09342719286653135
1321,3.453302964748207e-8,5.628837975289471e-12,-3.4527400809506784e-8,-0.09342790165704609
1341,3.247684016620086e-8,3.5062227568721914e-12,-3.247333394344399e-8,-0.09342857088343272
1361,3.0542637992134255e-8,1.9510804104476745e-12,-3.0540686911723806e-8,-0.09342919936216358
1381,2.9039782578344555e-8,1.4870505766615776e-12,-2.9038295527767892e-8,-0.0934297938195941
1401,2.7792362902396243e-8,1.5253480893566863e-12,-2.7790837554306885e-8,-0.09343036114004762
1421,2.6808185366843478e-8,2.1218307874448355e-12,-2.6806063536056033e-8,-0.09343090609663939
1441,2.6055345221847645e-8,3.339594530363443e-12,-2.605200562731728e-8,-0.0934314341427071
1461,2.527230961227541e-8,4.378350482151683e-12,-2.5267931261793257e-8,-0.0934319471443868
1481,2.4275900004144674e-8,4.530138191422969e-12,-2.4271369865953252e-8,-0.0934324425688123
1501,2.303829170855216e-8,3.4534898403033575e-12,-2.3034838218711857e-8,-0.09343291520546489
1521,2.1750539552769075e-8,2.0515582663494267e-12,-2.1748487994502727e-8,-0.09343336230312783
1541,2.0677713667181283e-8,1.358420119814331e-12,-2.0676355247061468e-8,-0.09343378550858261
1561,1.9841666598886413e-8,1.236030130742524e-12,-1.984043056875567e-8,-0.09343418998654421
1581,1.917099230825297e-8,1.4801264876526353e-12,-1.9169512181765315e-8,-0.09343457943011559
1601,1.869085788859726e-8,2.2020412111786655e-12,-1.8688655847386083e-8,-0.09343495753457365
1621,1.8235780728971223e-8,3.0292625289020434e-12,-1.8232751466442322e-8,-0.09343532664233313
1641,1.7681963892008938e-8,3.393387596681128e-12,-1.7678570504412257e-8,-0.09343568569722356
1661,1.6935415889550328e-8,2.9788866479092486e-12,-1.6932437002902417e-8,-0.09343603176860386
1681,1.6092716310907545e-8,2.0589330416248405e-12,-1.6090657377865922e-8,-0.09343636160431837
1701,1.5307492408474972e-8,1.3053172132842766e-12,-1.5306187091261687e-8,-0.09343667493392549
1721,1.4695490400359184e-8,1.051071020442703e-12,-1.4694439329338742e-8,-0.09343697437268829
1741,1.4211432776831326e-8,1.112228230464545e-12,-1.4210320548600862e-8,-0.09343726297972772
1761,1.3864841068027254e-8,1.5020974856041564e-12,-1.3863338970541649e-8,-0.09343754331389308
1781,1.3580786792078474e-8,2.0959163836119508e-12,-1.3578690875694862e-8,-0.09343781763159432
1801,1.3239891574743544e-8,2.4689734961776983e-12,-1.3237422601247366e-8,-0.09343808573050694
1821,1.2801571984729525e-8,2.4095552538464316e-12,-1.2799162429475678e-8,-0.0934383461254165
1841,1.2237894183858653e-8,1.867361161018291e-12,-1.2236026822697636e-8,-0.09343859628725415
1861,1.1678387055253645e-8,1.259531925084396e-12,-1.167712752332856e-8,-0.09343883505911395
1881,1.1208212321073713e-8,9.258333277124785e-13,-1.1207286487746e-8,-0.09343906347367115
1901,1.0840591232463318e-8,8.78256340624198e-13,-1.0839712976122695e-8,-0.0934392836155419
1921,1.0568774484371864e-8,1.0624256155063379e-12,-1.0567712058756358e-8,-0.0934394973761668
1941,1.0372851168434853e-8,1.4597310319202878e-12,-1.0371391437402932e-8,-0.09343970663146713
1961,1.0150100285415964e-8,1.7894056559451812e-12,-1.014831087976002e-8,-0.09343991180416736
1981,9.877529547344205e-9,1.862535493673788e-12,-9.875667011850532e-9,-0.09344011201035603
2001,9.51079107132599e-9,1.598902766831883e-12,-9.509192168559159e-9,-0.09344030583972032
2021,9.109649861840455e-9,1.173124446797671e-12,-9.108476737393658e-9,-0.09344049178021331
2041,8.750791190498813e-9,8.44248616646388e-13,-8.749946941882166e-9,-0.09344067008260006
2061,8.460688990161779e-9,7.285273696371391e-13,-8.459960462792142e-9,-0.09344084192416369
2081,8.239017321461245e-9,7.916053148758136e-13,-8.238225716146369e-9,-0.09344100867159896
2101,8.086086582127759e-9,1.0293534057202942e-12,-8.085057228722038e-9,-0.0934411717495082
2121,7.934558784707963e-9,1.2927902297878501e-12,-7.933265994478175e-9,-0.09344133191614049
2141,7.749510220182172e-9,1.404314445554505e-12,-7.748105905736618e-9,-0.09344148868328855
2161,7.515237666401883e-9,1.3101590690436598e-12,-7.513927507332839e-9,-0.09344164131212075
2181,7.22668442473615e-9,1.0339847861157378e-12,-7.225650439950034e-9,-0.09344178858397081
2201,6.956115749314851e-9,7.687855696027464e-13,-6.9553469637452485e-9,-0.09344193020173626
2221,6.725459955908415e-9,6.230912833194882e-13,-6.724836864625095e-9,-0.0934420668141239
2241,6.541847795811269e-9,6.164434159934716e-13,-6.541231352395276e-9,-0.09344219929861869
2261,6.412339971007282e-9,7.425721549107657e-13,-6.411597398852372e-9,-0.09344232867846981
2281,6.302980980587517e-9,9.361296809110062e-13,-6.302044850906606e-9,-0.09344245578227071
2301,6.170673468130484e-9,1.0507900128935995e-12,-6.169622678117591e-9,-0.09344258046808687
2321,6.014479751646546e-9,1.0374849510640232e-12,-6.013442266695482e-9,-0.09344270228125359
2341,5.812777119465169e-9,8.80029814606975e-13,-5.811897089650562e-9,-0.09344282049633416
2361,5.607141228770489e-9,6.84682764666538e-13,-5.606456546005822e-9,-0.09344293454001913
2381,5.4262953481808395e-9,5.453447749009435e-13,-5.425750003405938e-9,-0.09344304472942956
2401,5.2743344748071975e-9,5.002291544767126e-13,-5.273834245652721e-9,-0.09344315159422392
2421,5.1610297067889155e-9,5.537562081838106e-13,-5.160475950580732e-9,-0.09344325581103533
2441,5.075272387912747e-9,6.825668567599263e-13,-5.0745898210559874e-9,-0.09344335810883124
2461,4.978313097670139e-9,7.847847038124334e-13,-4.977528312966327e-9,-0.09344345861277448
2481,4.8669130847603125e-9,8.052313514285158e-13,-4.866107853408884e-9,-0.09344355701768349
2501,4.728408464146432e-9,7.282950182702274e-13,-4.727680169128161e-9,-0.09344365294567362
2521,4.5722407360225735e-9,5.919608333721364e-13,-4.5716487751892015e-9,-0.09344374585134238
2541,4.431399914134489e-9,4.77968092746482e-13,-4.430921946041742e-9,-0.09344383577747133
2561,4.3075863590398955e-9,4.1776301641349957e-13,-4.307168596023482e-9,-0.09344392306514654
2581,4.208652394969137e-9,4.276945720910698e-13,-4.208224700397046e-9,-0.09344400811903272
2601,4.1361925196841605e-9,5.035433164336631e-13,-4.135688976367727e-9,-0.09344409149470706
2621,4.063310573213434e-9,5.856375158978218e-13,-4.062724935697536e-9,-0.09344417346417952
2641,3.979747075867129e-9,6.178351123916102e-13,-3.979129240754737e-9,-0.0934442538526347
2661,3.882910367707939e-9,5.873432612879906e-13,-3.8823230244466505e-9,-0.09344433245533287
2681,3.766755396765508e-9,4.999555913156497e-13,-3.766255441174192e-9,-0.09344440889744225
2701,3.6562491530731656e-9,4.1279533787590714e-13,-3.65583635773529e-9,-0.09344448303961804
2721,3.5574470224736343e-9,3.5458403878538995e-13,-3.557092438434849e-9,-0.09344455510318082
2741,3.472638743514869e-9,3.407683459200924e-13,-3.472297975168949e-9,-0.09344462532249333
2761,3.408965941340566e-9,3.78594463599104e-13,-3.408587346876967e-9,-0.09344469406816959
2781,3.3521514843256333e-9,4.386022866002535e-13,-3.351712882039033e-9,-0.09344476165171611
2801,3.287760947435955e-9,4.721652239334211e-13,-3.2872887822120217e-9,-0.09344482801914215
2821,3.2171257461199777e-9,4.654153248728265e-13,-3.216660330795105e-9,-0.09344489304033443
2841,3.1322681645654712e-9,4.145591735886494e-13,-3.1318536053918825e-9,-0.09344495650548611
2861,3.0452115044991356e-9,3.5025490380891166e-13,-3.044861249595327e-9,-0.09344501821507321
2881,2.9671578455793847e-9,3.02176993071733e-13,-2.966855668586313e-9,-0.09344507828175848
2901,2.8964130680159103e-9,2.7875211913270594e-13,-2.8961343158967774e-9,-0.09344513685954266
2921,2.8399620970191062e-9,2.915529296587017e-13,-2.8396705440894477e-9,-0.09344519416203162
2941,2.7935640710898044e-9,3.30589730558183e-13,-2.7932334813592464e-9,-0.0934452504656193
2961,2.743205850735089e-9,3.6018255940547553e-13,-2.7428456681756836e-9,-0.09344530581040228
2981,2.689337618871126e-9,3.6462523689249866e-13,-2.6889729936342333e-9,-0.09344536010753765
3001,2.6273621134948885e-9,3.381490133088581e-13,-2.6270239644815795e-9,-0.09344541325547046
3021,2.5593143075927914e-9,2.9278834524770593e-13,-2.559021519247544e-9,-0.0934454650792203
3041,2.4971798751109508e-9,2.551109302411675e-13,-2.4969247641807096e-9,-0.09344551559625319
3061,2.4397837360187182e-9,2.3138380522265364e-13,-2.4395523522134955e-9,-0.09344556492538265
3081,2.390346562041063e-9,2.298167402943331e-13,-2.3901167453007685e-9,-0.09344561317795773
3101,2.350940095710926e-9,2.519308163766745e-13,-2.3506881648945492e-9,-0.09344566055697577
3121,2.3110133928657807e-9,2.750634358275176e-13,-2.310738329429953e-9,-0.09344570715878919
3141,2.2683940292477713e-9,2.8331761348367485e-13,-2.2681107116342876e-9,-0.09344575292739032
3161,2.2222748822549872e-9,2.718541623396588e-13,-2.2220030280926477e-9,-0.09344579781710642
3181,2.1698082049835533e-9,2.4194424834184473e-13,-2.1695662607352116e-9,-0.09344584171155963
3201,2.1196475770623365e-9,2.125588048186293e-13,-2.119435018257518e-9,-0.0934458845667742
3221,2.073729709400524e-9,1.9247298520872868e-13,-2.0735372364153156e-9,-0.09344592646972927
3241,2.0315148657441604e-9,1.844548998332668e-13,-2.031330410844327e-9,-0.09344596748668668
3261,1.9971300568086693e-9,1.9433497997092635e-13,-1.9969357218286985e-9,-0.09344600774021719
3281,1.964986854829534e-9,2.10815203735575e-13,-1.964776039625798e-9,-0.09344604734539184
3301,1.9304017740074164e-9,2.18663332078649e-13,-1.9301831106753376e-9,-0.09344608627909567
