iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.08253591149683248,0.11867537682904618,0.0361394653322137,0.0361394653322137
21,0.00547435616210642,0.004813310161830182,-0.0006610460002762376,-0.014393203882840058
41,0.0019307353511481705,0.001657315621240454,-0.0002734197299077165,-0.02248837259533395
61,0.0008966767149048567,0.0007360165829758105,-0.00016066013192904622,-0.026657313915370684
81,0.0004883090408947285,0.00037897581285618274,-0.00010933322803854576,-0.029361519681454656
101,0.0002929175001415385,0.00021597996322079895,-7.693753692073954e-5,-0.03121195918462473
121,0.00018749212327140118,0.0001320076195891879,-5.5484503682213274e-5,-0.03252293020141058
141,0.00012665347215193464,8.527801766989359e-5,-4.137545448204105e-5,-0.03348807356022363
161,8.918137207540038e-5,5.7187514434686235e-5,-3.199385764071415e-5,-0.034223906566717824
181,6.482979475144914e-5,3.951169646121539e-5,-2.531809829023375e-5,-0.03479994336250889
201,4.83532209390303e-5,2.7945397660652722e-5,-2.0407823278377576e-5,-0.035259735852502014
221,3.6838785758011305e-5,2.014868187935598e-5,-1.6690103878655326e-5,-0.035631973219725874
241,2.8557886196071798e-5,1.4768666084869188e-5,-1.378922011120261e-5,-0.03593664083522119
261,2.244374563452037e-5,1.0964284701818283e-5,-1.1479460932702086e-5,-0.03618827525844797
281,1.783110502157338e-5,8.217609578561647e-6,-9.613495443011733e-6,-0.03639773725241159
301,1.4300946372571499e-5,6.208535249697884e-6,-8.092411122873616e-6,-0.03657330886531281
321,1.1577008757973865e-5,4.727342601234381e-6,-6.849666156739484e-6,-0.036721421525457015
341,9.510947881294364e-6,3.629043710449011e-6,-5.8819041708453525e-6,-0.03684811788097852
361,8.100459199781583e-6,2.8204639572538862e-6,-5.279995242527697e-6,-0.03695936855211863
381,6.4681714275338704e-6,2.1784247968442707e-6,-4.2897466306896e-6,-0.03705299396756504
401,5.407230442654204e-6,1.6989468845425345e-6,-3.7082835581116694e-6,-0.03713241249172068
421,4.550736071078648e-6,1.32787832004869e-6,-3.2228577510299585e-6,-0.037201263572285696
441,3.853192151098789e-6,1.0394334622421917e-6,-2.8137586888565978e-6,-0.037261243897652174
461,3.282118889395599e-6,8.14849280121396e-7,-2.4672696092742026e-6,-0.037313735809624014
481,2.8124207229358367e-6,6.398572762833588e-7,-2.172563446652478e-6,-0.037359875419688514
501,2.4242435080191996e-6,5.033321140621666e-7,-1.9209113939570327e-6,-0.03740060125088297
521,2.101744450281364e-6,3.9657430930554815e-7,-1.7051701409758157e-6,-0.03743669239862616
541,1.8323068932264506e-6,3.1285301864269365e-7,-1.5194538745837569e-6,-0.03746879867950169
561,1.6059341500105531e-6,2.470213653350138e-7,-1.3589127846755393e-6,-0.03749746462087262
581,1.4149730542673987e-6,1.9515935398281502e-7,-1.2198137002845837e-6,-0.03752314960925519
601,1.2898107542553666e-6,1.5562140607701915e-7,-1.1341893481783474e-6,-0.03754647506001989
621,1.1340452757991327e-6,1.2214561383815545e-7,-1.0118996619609772e-6,-0.037567718441947104
641,1.1071944612751636e-6,1.0070701088458304e-7,-1.0064874503905805e-6,-0.03758808358535973
661,9.015273161086709e-7,7.649787966146065e-8,-8.250294364472102e-7,-0.037606331262409316
681,8.045620058242197e-7,6.05859290495854e-8,-7.439760767746343e-7,-0.03762191387476385
701,7.276012238043108e-7,4.803728932337007e-8,-6.795639344809408e-7,-0.037636104036653795
721,6.604159108377294e-7,3.810601107198543e-8,-6.22309899765744e-7,-0.037649083109436
741,6.014475083940032e-7,3.024035562301969e-8,-5.712071527709835e-7,-0.03766098309402416
761,5.494588386908018e-7,2.40070214470079e-8,-5.254518172437939e-7,-0.03767191837632798
781,5.034273445028714e-7,1.9064905234707154e-8,-4.843624392681643e-7,-0.037681988577671716
801,4.626224776462544e-7,1.514489292786159e-8,-4.4747758471839284e-7,-0.037691281330882134
821,4.381072889431482e-7,1.2191495640800037e-8,-4.259157933023482e-7,-0.03769993701233556
841,3.988050868802734e-7,9.600424671379233e-9,-3.892046622088942e-7,-0.03770814432858043
861,3.9353207919357416e-7,8.278164697912597e-9,-3.8525391449566155e-7,-0.037715794483290516
881,3.8235188470404265e-7,7.008208909672947e-9,-3.753436757943697e-7,-0.037723576069070626
901,3.1589124856487455e-7,4.816656630420246e-9,-3.110745919344543e-7,-0.037730311740252924
921,2.9154653161122544e-7,3.826209639659074e-9,-2.8772032197156636e-7,-0.03773627048729056
941,2.717103990568602e-7,3.0442754971350876e-9,-2.6866612355972514e-7,-0.03774182185153079
961,2.536562435920364e-7,2.422451606283776e-9,-2.5123379198575264e-7,-0.03774700964997386
981,2.3716316675143123e-7,1.927886983641293e-9,-2.3523527976778995e-7,-0.0377518640656878
1001,2.2249815755981172e-7,1.534905036934411e-9,-2.209632525228773e-7,-0.03775641443107582
1021,2.1677223701111825e-7,1.403471913799345e-9,-2.153687650973189e-7,-0.03776076387362288
1041,1.9796737198627715e-7,9.799990590242175e-10,-1.9698737292725294e-7,-0.03776488129903363
1061,1.9992012952528526e-7,1.033222518369133e-9,-1.9888690700691614e-7,-0.03776880879378175
1081,1.9783440471452958e-7,1.009849033052328e-9,-1.9682455568147725e-7,-0.037772837183986545
1101,1.662483022442524e-7,5.076266397735561e-10,-1.6574067560447886e-7,-0.037776425868251064
1121,1.5366590180715663e-7,3.909699279100011e-10,-1.5327493187924663e-7,-0.03777959212309915
1141,1.4502407560231803e-7,3.1131997290234313e-10,-1.447127556294157e-7,-0.037782566243746964
1161,1.3711635000373234e-7,2.4796354968892455e-10,-1.368683864540434e-7,-0.03778537700619768
1181,1.308958035372414e-7,2.0098984220126777e-10,-1.3069481369504014e-7,-0.037788043052739154
1201,1.2703682680930065e-7,2.2846707622330643e-10,-1.2680835973307735e-7,-0.03779063168972374
1221,1.184264073537713e-7,1.3021607459843448e-10,-1.1829619127917287e-7,-0.03779307028781548
1241,1.2163523004638295e-7,2.2592318899119756e-10,-1.2140930685739176e-7,-0.037795456458640915
1261,1.1840884662078434e-7,2.5247825117899387e-10,-1.1815636836960534e-7,-0.03779788524028459
1281,1.0215048385290828e-7,7.464762637375242e-11,-1.0207583622653452e-7,-0.037800068175050806
1301,9.50710867518962e-8,5.04797337628222e-11,-9.502060701813338e-8,-0.03780202506781674
1321,9.05111551857068e-8,4.0164142362121836e-11,-9.047099104334468e-8,-0.03780387664545171
1341,8.716675762967363e-8,3.521642442334535e-11,-8.713154120525029e-8,-0.03780564671312542
1361,8.466955616480205e-8,5.866745052072163e-11,-8.461088871428132e-8,-0.037807371276689296
1381,7.98503411501472e-8,2.3691554403235682e-11,-7.982664959574396e-8,-0.03780901023999043
1401,8.101293753548214e-8,7.355378890456859e-11,-8.093938374657757e-8,-0.03781061152911611
1421,8.009383200930041e-8,1.0500526188961122e-10,-7.99888267474108e-8,-0.03781223806666951
1441,7.113895917892389e-8,2.647891581051003e-11,-7.111248026311338e-8,-0.03781374542841977
1461,6.5930451271213e-8,8.405522854949986e-12,-6.592204574835806e-8,-0.037815104717732695
1481,6.32342871100846e-8,6.864360028177936e-12,-6.322742275005642e-8,-0.037816393200276764
1501,6.191966233883602e-8,1.8969093103959284e-11,-6.190069324573206e-8,-0.0378176423357563
1521,5.910274585497581e-8,1.097546316224964e-11,-5.909177039181356e-8,-0.037818852673155566
1541,5.766943687527103e-8,1.463876366324766e-11,-5.7654798111607785e-8,-0.03782001169882319
1561,5.86613184808036e-8,5.1365570169792406e-11,-5.860995291063381e-8,-0.03782117550391487
1581,5.51459096492501e-8,3.6049877013969375e-11,-5.510985977223613e-8,-0.03782231930255925
1601,5.019350139392187e-8,4.208922686861574e-12,-5.018929247123501e-8,-0.03782336625831992
1621,4.780347519855679e-8,1.706453865287627e-12,-4.78017687446915e-8,-0.03782434183325368
1641,4.672644223417711e-8,7.2025812715105545e-12,-4.67192396529056e-8,-0.03782528525509246
1661,4.50024147802939e-8,6.4647623342813184e-12,-4.499595001795962e-8,-0.0378262025487852
1681,4.3686985811958654e-8,5.42161192090848e-12,-4.368156420003774e-8,-0.037827085027171595
1701,4.407296605666844e-8,2.398767532214252e-11,-4.4048978381346296e-8,-0.03782796157353394
1721,4.241468194267862e-8,2.339940898287141e-11,-4.239128253369575e-8,-0.03782882974643787
1741,3.90909777065534e-8,4.182410081361516e-12,-3.9086795296472035e-8,-0.037829641582586546
1761,3.719454539473769e-8,8.876244444550096e-13,-3.719365777029323e-8,-0.03783040061590379
1781,3.631590963826955e-8,4.553224556344558e-12,-3.63113564137132e-8,-0.03783113507384392
1801,3.506372725144054e-8,3.099146852697321e-12,-3.506062810458784e-8,-0.03783184834726176
1821,3.4269017732280685e-8,4.339826928593955e-12,-3.426467790535209e-8,-0.03783253895365915
1841,3.42643827927152e-8,1.4550210847250854e-11,-3.4249832581867945e-8,-0.03783322427135293
1861,3.2914161243496556e-8,1.2269553856991743e-11,-3.290189168963956e-8,-0.037833897761017934
1881,3.079463518883653e-8,2.3812279566559698e-12,-3.079225396087987e-8,-0.03783453285021467
1901,2.9581189653494842e-8,1.0126310280673631e-12,-2.9580177022466776e-8,-0.03783513414974367
1921,2.880060035598706e-8,2.92058840949538e-12,-2.8797679767577562e-8,-0.037835718044766486
1941,2.790670745231204e-8,1.5575051361174972e-12,-2.790514994717592e-8,-0.03783628452119024
1961,2.7492925534585415e-8,4.447594252329931e-12,-2.7488477940333085e-8,-0.037836837105267376
1981,2.717625768928536e-8,9.161547313221151e-12,-2.7167096141972137e-8,-0.03783738473069032
2001,2.5965541289737054e-8,5.449366201572965e-12,-2.5960091923535482e-8,-0.037837916808470956
2021,2.4643110274449878e-8,1.0861597061125193e-12,-2.4642024114743766e-8,-0.037838421431011605
2041,2.391262826248404e-8,1.3469838262566228e-12,-2.3911281278657784e-8,-0.037838905874914126
2061,2.323463788303575e-8,1.591119587805564e-12,-2.3233046763447946e-8,-0.03783937703380285
