iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.132994624590498,0.23140402747831695,0.09840940288781896,0.09840940288781896
21,0.001990292367218963,0.0014776242774434628,-0.0005126680897755002,0.01860642595723358
41,0.0007638180574304296,0.0001474534827933779,-0.0006163645746370518,0.008288659428266495
61,0.0005941621353824048,6.326692589984123e-6,-0.0005878354427924207,-0.004797806071880545
81,0.000243661768144713,1.9527194484156502e-7,-0.00024346649619987144,-0.01276847624788807
101,8.98101322890496e-5,2.1821215102665184e-8,-8.978831107394693e-5,-0.01573124388042715
121,4.471956168583887e-5,3.5069829442643064e-9,-4.47160547028946e-5,-0.01696285045731945
141,3.06677876847776e-5,2.596455692072307e-9,-3.066519122908553e-5,-0.017686107055893296
161,2.5678828559135507e-5,4.5872270717778706e-8,-2.5632956288417727e-5,-0.01823632429449146
181,2.0986219319118112e-5,2.404705195955695e-8,-2.0962172267158556e-5,-0.018708028275229494
201,1.709842056384653e-5,2.9147962921852306e-9,-1.7095505767554344e-5,-0.019082505599957812
221,1.4813057940637797e-5,2.3515272383687366e-8,-1.478954266825411e-5,-0.019398518746548625
241,1.1935385412560485e-5,4.115368377460255e-9,-1.1931270044183026e-5,-0.019664710655198866
261,9.926947680060307e-6,2.904402077689216e-9,-9.924043277982618e-6,-0.019880865313292355
281,8.392373417970968e-6,7.782217191167443e-9,-8.3845912007798e-6,-0.020063425737347804
301,6.853471276397062e-6,1.2138329975922924e-9,-6.8522574433994695e-6,-0.020214219467017104
321,5.77341054453055e-6,2.524330248164881e-9,-5.770886214282385e-6,-0.02033936025687708
341,4.822949754037842e-6,1.7014312152255034e-9,-4.821248322822617e-6,-0.02044477202736089
361,4.04008458533459e-6,6.987823339668567e-10,-4.039385803000623e-6,-0.020532577527444487
381,3.434571139752219e-6,1.2139161276057907e-9,-3.4333572236246135e-6,-0.0206068424875027
401,2.9034471134360912e-6,4.5422053949674676e-10,-2.9029928928965946e-6,-0.020669775271022088
421,2.48416083827442e-6,4.5279456399832296e-10,-2.4837080437104215e-6,-0.020723269808713533
441,2.1342627838887394e-6,3.928668501844926e-10,-2.133869917038555e-6,-0.020769191935209118
461,1.8398933350748843e-6,1.9598805126675593e-10,-1.8396973470236176e-6,-0.020808675415060672
481,1.5993729866877399e-6,2.2234929108898416e-10,-1.599150637396651e-6,-0.020842873714135204
501,1.3941580468138443e-6,1.2800422024150205e-10,-1.3940300425936028e-6,-0.020872646962994075
521,1.2227394843852084e-6,9.943355847908868e-11,-1.2226400508267293e-6,-0.020898676023305852
541,1.0775990168766028e-6,8.562359932148333e-11,-1.0775133932772814e-6,-0.020921568616447644
561,9.534382111930581e-7,5.161229660058438e-11,-9.533865988964576e-7,-0.020941781582691762
581,8.478137876502726e-7,4.633965848285959e-11,-8.477674479917897e-7,-0.02095971330820544
601,7.566572309528743e-7,3.1840172353006544e-11,-7.566253907805214e-7,-0.020975689599064044
621,6.780465394055772e-7,2.333471280691353e-11,-6.780232046927703e-7,-0.020989977461877685
