cost,base_path,metric,ncells,nfeatures,seed
0.06253621844613666,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,5000,3
0.02876290753122354,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,1000,4
0.030830652702022062,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,5000,4
0.03431035446904411,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,1000,5
0.039574066581505675,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,5000,5
0.07804291828354398,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,1000,6
0.043466928293206995,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,5000,6
0.053128622751556685,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,1000,7
0.05849419628788722,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,5000,7
0.028558892058434385,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,1000,8
0.030280376720403596,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,5000,8
0.02100707572982086,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,1000,9
0.028230659613885854,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,5000,9
0.02057266519366507,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,1000,10
0.023667389086762396,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,5000,10
0.09297272615304789,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,1
0.13593771851990086,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,2
0.1333566415094678,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,3
0.08766412438660443,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,4
0.08475353679381113,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,5
0.10935931808369985,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,6
0.11554569241025868,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,7
0.09999324924159578,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,8
0.06955229322195589,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,9
0.08436514816525383,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l1,20,10000,10
0.040101272720987305,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,1
0.06209845477761111,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,2
0.0568659786595955,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,3
0.03861239267502096,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,4
0.039352927668828384,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,5
0.04914004191197168,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,6
0.05254001655143703,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,7
0.04616596339358367,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,8
0.03574331159984808,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,9
0.03965318019046723,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,l2,20,10000,10
0.01739596959621917,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,1
0.037857006915292694,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,2
0.030234246686805914,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,3
0.017429631156374067,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,4
0.021131674628503357,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,5
0.02375218041830354,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,6
0.03255915574468206,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,7
0.018430034767700623,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,8
0.017206990691989686,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,9
0.016537213780689734,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,cosine,20,10000,10
0.036601429324554506,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,1
0.07920195950400283,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,2
0.06073191905592361,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,3
0.03469743059793136,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,4
0.04392836763401029,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,5
0.04409830970921877,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,6
0.06899322166561105,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,7
0.03379879706007764,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,8
0.031549800518359726,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,9
0.029390968798838825,OT-scOmics/data/liu_scatac_preprocessed.csv.gz,correlation,20,10000,10
