iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.11576166536584608,0.2780475900123292,0.16228592464648312,0.16228592464648312
21,0.006729767082653967,0.006621146259122147,-0.00010862082353182024,0.057608303579135225
41,0.0024938766545578913,0.001205969493057428,-0.0012879071615004632,0.03654569643492689
61,0.0009565806028675548,0.00013219545498751445,-0.0008243851478800403,0.015796322990307532
81,0.00032210130233267646,1.3650220102497588e-5,-0.0003084510822301789,0.0052797359214382415
101,0.00011763894717535239,2.932815954216235e-6,-0.00011470613122113615,0.0015291388500413032
121,5.980872247251547e-5,7.999629466693875e-7,-5.900875952584608e-5,-6.674592036815929e-5
141,4.292866903233732e-5,3.254461990524147e-7,-4.260322283328491e-5,-0.0010442418802126055
161,3.5247966286328435e-5,2.0186631967907466e-7,-3.504609996664936e-5,-0.0018046369476767353
181,3.020211536626731e-5,2.2295812946613702e-7,-2.9979157236801174e-5,-0.0024615820866936595
201,2.3161742045077766e-5,6.386486973575108e-8,-2.3097877175342015e-5,-0.002980123217408105
221,1.9583807527687326e-5,5.072562440071748e-8,-1.953308190328661e-5,-0.003402136079922975
241,1.6952215365789167e-5,5.846219869758316e-8,-1.6893753167091583e-5,-0.0037646019014067962
261,1.4385760252913067e-5,7.944974823638316e-8,-1.4306310504676683e-5,-0.004079410010748304
281,1.103929699225594e-5,2.390191371033546e-8,-1.1015395078545605e-5,-0.0043275460292729676
301,9.401513085868707e-6,1.8358443812653313e-8,-9.383154642056054e-6,-0.004529072199322422
321,8.295212736095339e-6,2.3597193303350353e-8,-8.271615542791989e-6,-0.004704391113317014
341,6.709121602595423e-6,1.581218464901061e-8,-6.6933094179464125e-6,-0.0048541998964474415
361,5.486682584569142e-6,4.622477841239973e-9,-5.4820601067279015e-6,-0.00497383411258864
381,4.8385623226562625e-6,6.41314939844875e-9,-4.832149173257813e-6,-0.005076234712648151
401,4.150045250810623e-6,7.91663569632605e-9,-4.142128615114297e-6,-0.00516631740398777
421,3.4051997707499713e-6,1.842600999069335e-9,-3.4033571697509018e-6,-0.005241009107679195
441,2.984267088852892e-6,1.787755156393909e-9,-2.982479333696498e-6,-0.005304316836805056
461,2.635946742940978e-6,3.1250190142975854e-9,-2.6328217239266805e-6,-0.005360522451259723
481,2.22923726569341e-6,7.820116083772699e-10,-2.228455254085033e-6,-0.0054088347224284725
501,1.9480582827500846e-6,6.088219333384876e-10,-1.947449460816746e-6,-0.005450182980934813
521,1.7445167997742707e-6,1.2256181416905567e-9,-1.7432911816325803e-6,-0.0054870035772806485
541,1.516621616200396e-6,5.149893153205444e-10,-1.5161066268850754e-6,-0.005519424359929703
561,1.3329495498148906e-6,2.9209584182474526e-10,-1.3326574539730658e-6,-0.005547691061871134
581,1.2027797653793576e-6,5.296408163296131e-10,-1.202250124563028e-6,-0.005572941435656296
601,1.0664116756753357e-6,3.6917848024504855e-10,-1.0660424971950907e-6,-0.005595531228223169
621,9.487438985480802e-7,1.674140218300056e-10,-9.485764845262502e-7,-0.0056155777704968175
641,8.604390864109667e-7,2.457558161666923e-10,-8.601933305948e-7,-0.005633587500913646
661,7.740790440574883e-7,2.256980260180014e-10,-7.738533460314702e-7,-0.005649880549932351
681,6.977120257366952e-7,1.0160466197465863e-10,-6.976104210747205e-7,-0.005664544685253315
701,6.357011228138937e-7,1.2218756978599393e-10,-6.355789352441077e-7,-0.005677820356728891
721,5.784153118357568e-7,1.2607220095460043e-10,-5.782892396348022e-7,-0.005689931575913334
741,5.271265855467961e-7,6.207151249129164e-11,-5.270645140343048e-7,-0.005700951533519406
761,4.827968722619291e-7,6.449682936248518e-11,-4.827323754325666e-7,-0.00571101136702759
781,4.4323692962460487e-7,6.700942614527238e-11,-4.431699201984596e-7,-0.005720250939580865
801,4.073743719370874e-7,3.7807457180987514e-11,-4.073365644799064e-7,-0.0057287305472558435
821,3.752970522202023e-7,3.5459881778036444e-11,-3.752615923384243e-7,-0.005736531745360903
841,3.4701460365678893e-7,3.481139254607246e-11,-3.469797922642429e-7,-0.005743738603071782
861,3.2106378786101795e-7,2.294318002969123e-11,-3.2104084468098824e-7,-0.005750399703202288
881,2.975482616268705e-7,1.985725293347391e-11,-2.97528404373937e-7,-0.005756569289107
901,2.7671390061994215e-7,1.80842926075068e-11,-2.7669581632733466e-7,-0.005762298744525838
921,2.5744607415347757e-7,1.3780982102945205e-11,-2.574322931713746e-7,-0.005767626210243111
941,2.3992530171716613e-7,1.1113667619921206e-11,-2.399141880495462e-7,-0.005772588665497125
961,2.2418952268546553e-7,9.57664367739659e-12,-2.2417994604178813e-7,-0.005777219265285612
981,2.0960152210556933e-7,8.148947215492956e-12,-2.0959337315835383e-7,-0.005781547141818177
1001,1.9630864156134155e-7,6.1770468008615995e-12,-1.963024645145407e-7,-0.005785597998666949
1021,1.8419138241054752e-7,5.230224946556307e-12,-1.8418615218560096e-7,-0.005789394744401127
1041,1.7296101029357034e-7,4.708710492490655e-12,-1.7295630158307785e-7,-0.005792959022283055
1061,1.6268043111631287e-7,3.4193804968343384e-12,-1.6267701173581605e-7,-0.005796309043266372
1081,1.532003530433834e-7,2.9458523619091787e-12,-1.5319740719102148e-7,-0.005799461491680843
1101,1.444220531761545e-7,2.654580258309708e-12,-1.444193985958962e-7,-0.005802432280336528
1121,1.3633453049488067e-7,1.9054783404401197e-12,-1.3633262501654022e-7,-0.005805234751332841
1141,1.2882213214552626e-7,1.692690646952922e-12,-1.2882043945487931e-7,-0.005807881438581023
1161,1.218600527258201e-7,1.464960430452517e-12,-1.2185858776538966e-7,-0.005810384022811907
1181,1.1540102464446553e-7,1.0830134332974245e-12,-1.1539994163103224e-7,-0.0058127525461732915
1201,1.0937650936748888e-7,9.797513786667076e-13,-1.093755296161102e-7,-0.005814996539079544
1221,1.0377847538782087e-7,8.011950873202981e-13,-1.0377767419273355e-7,-0.005817124685703563
1241,9.855503282122687e-8,6.307137799480341e-13,-9.855440210744692e-8,-0.0058191447386351505
1261,9.367130045426736e-8,5.609824144956618e-13,-9.367073947185287e-8,-0.005821064014357554
1281,8.911451100519386e-8,4.3851697811223884e-13,-8.911407248821574e-8,-0.005822889096465893
1301,8.48434502897553e-8,3.7254839014306025e-13,-8.484307774136515e-8,-0.005824626034814713
1321,8.084179276891198e-8,3.1633510300019043e-13,-8.084147643380898e-8,-0.005826280474509767
1341,7.709244746218851e-8,2.4621319403614784e-13,-7.709220124899447e-8,-0.005827857532623774
1361,7.356829939510484e-8,2.2140445527173434e-13,-7.356807799064957e-8,-0.005829361997911834
1381,7.025852192318681e-8,1.775441104860028e-13,-7.025834437907633e-8,-0.005830798283274626
1401,6.714550487393552e-8,1.4357681146964492e-13,-6.714536129712405e-8,-0.005832170437373223
1421,6.421383731261757e-8,1.3075048735183213e-13,-6.421370656213023e-8,-0.0058334822717543665
1441,6.145344684498996e-8,1.0427256421445656e-13,-6.145334257242575e-8,-0.005834737296274399
1461,5.884684778891823e-8,9.493900185712579e-14,-5.884675284991637e-8,-0.005835938742310324
1481,5.638436215784655e-8,8.729756367593407e-14,-5.638427486028287e-8,-0.005837089589648776
1501,5.4059409278678865e-8,6.682678514974574e-14,-5.4059342451893716e-8,-0.005838192646606097
1521,5.1857686853379956e-8,5.423519819721043e-14,-5.185763261818176e-8,-0.0058392505147283145
1541,4.977376082618799e-8,4.492570117367172e-14,-4.977371590048682e-8,-0.005840265597562746
1561,4.7800999986766347e-8,3.740243756622484e-14,-4.780096258432878e-8,-0.005841240178653454
1581,4.5931311469399904e-8,3.2613117125553675e-14,-4.593127885628278e-8,-0.00584217640024204
1601,4.415831143061208e-8,2.7193776424119524e-14,-4.415828423683566e-8,-0.0058430762552665345
1621,4.2475454417300225e-8,2.365351071543731e-14,-4.247543076378951e-8,-0.00584394160535479
1641,4.0876640757036035e-8,2.1167589476877674e-14,-4.087661958944656e-8,-0.005844774191373007
1661,3.9356918551491763e-8,1.7279902897296118e-14,-3.9356901271588864e-8,-0.005845575639909506
1681,3.791128132985004e-8,1.557405233299747e-14,-3.791126575579771e-8,-0.005846347478666776
1701,3.653516226300102e-8,1.414907718757308e-14,-3.653514811392383e-8,-0.005847091143421672
1721,3.522437067379146e-8,1.1790343419303351e-14,-3.522435888344804e-8,-0.0058478079777283245
1741,3.397492252211016e-8,1.0765448255106799e-14,-3.397491175666191e-8,-0.00584849924644506
1761,3.278334948325703e-8,9.679971428889976e-15,-3.2783339803285603e-8,-0.005849166140319177
1781,3.164608987749198e-8,8.652824389425019e-15,-3.164608122466759e-8,-0.005849809778088593
1801,3.055999510046639e-8,7.777823843540611e-15,-3.055998732264255e-8,-0.005850431213157084
1821,2.9522225646838712e-8,6.984800674692222e-15,-2.9522218662038038e-8,-0.005851031438382764
1841,2.8530009504771402e-8,6.5117553255749226e-15,-2.8530002993016077e-8,-0.0058516113908879406
1861,2.7580755710906787e-8,6.027594114384796e-15,-2.7580749683312672e-8,-0.005852171954422531
1881,2.6672119968115063e-8,5.404502100561842e-15,-2.6672114563612962e-8,-0.005852713963124199
1901,2.5801898921870603e-8,5.052953535105245e-15,-2.580189386891707e-8,-0.00585323820589929
1921,2.496802568823894e-8,4.808033779279036e-15,-2.496802088020516e-8,-0.00585374542943949
1941,2.4168529546151467e-8,4.450393444530576e-15,-2.416852509575802e-8,-0.005854236339521416
1961,2.3401595727379538e-8,4.142065321988403e-15,-2.3401591585314214e-8,-0.005854711604490071
1981,2.2665576378434012e-8,3.905883678385536e-15,-2.2665572472550333e-8,-0.005855171858091554
2001,2.1958863990200257e-8,3.781092411344798e-15,-2.1958860209107844e-8,-0.005855617701618277
2021,2.12799474620076e-8,3.563043448055612e-15,-2.127994389896415e-8,-0.005856049705181314
2041,2.0627446032205655e-8,3.318111217086194e-15,-2.0627442714094437e-8,-0.005856468409975462
2061,2.0000080795448763e-8,3.1972062077240618e-15,-2.0000077598242554e-8,-0.005856874330729082
2081,1.9396616757966313e-8,3.0970964936589077e-15,-1.939661366086982e-8,-0.005857267957185413
2101,1.8815886647106736e-8,2.957245949572246e-15,-1.8815883689860786e-8,-0.005857649754914498
2121,1.8256821027448233e-8,2.773069027124737e-15,-1.8256818254379205e-8,-0.0058580201672175265
2141,1.771843206559704e-8,2.6771676447924938e-15,-1.7718429388429396e-8,-0.005858379616936271
