n,mean_time,med_time,std_time
32,0.0017922240388492355,0.0017909897430217823,1.5782149751224732e-05
64,0.0069582749091991,0.006957897426967974,1.5190600715599422e-05
128,0.027794591402000513,0.02779811775800772,2.6213340331872233e-05
256,0.3323183296015981,0.3323157478309586,0.0001665222362249051
