iter,infeas,ot_objective,dual,solver,time(s),problemclass,p,maxval,Algorithm,problem_1,problem_2,eta,primal,resolution_x,unnorm_ot_distance,gap,bintime,resolution_y,ot_distance,maxv
41260,1.65861083548102e-11,2.46292356821461,,annealed_sinkhorn_kernel,117.847,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0023016191410961,,64,19941.39817308305,0.028670863629283196,115.58428452718766,64,2.4342527066751765,126.0
55240,1.6610125708061298e-11,2.44486911841496,,annealed_sinkhorn_kernel,150.9861,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0018182791214659,,64,19941.39817308305,0.010616413832659178,156.02246448639497,64,2.4342527066751765,126.0
73380,1.6643676613645297e-11,2.43845694407966,,annealed_sinkhorn_kernel,194.175,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.001436440505958,,64,19941.39817308305,0.004204239501586977,181.27224187515105,64,2.4342527066751765,126.0
103970,1.66579773978485e-11,2.43611699830519,,annealed_sinkhorn_kernel,266.7856,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0011347879997068,,64,19941.39817308305,0.0018642937289184893,257.23755590577474,64,2.4342527066751765,126.0
145980,1.6626756934012297e-11,2.4351720821804,,annealed_sinkhorn_kernel,366.8633,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0008964825197684,,64,19941.39817308305,0.0009193776001948479,347.23438047873447,64,2.4342527066751765,126.0
192300,1.6647542309386298e-11,2.43465408199611,,annealed_sinkhorn_kernel,478.1071,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.000708221190617,,64,19941.39817308305,0.0004013774185238701,468.717386782417,64,2.4342527066751765,126.0
242870,1.37560809248784e-08,2.43434568638263,,annealed_sinkhorn_kernel,600.0033,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0005594947405874,,64,19941.39817308305,9.471297364990138e-05,544.5719101259294,64,2.4342527066751765,126.0
1,0.372001749583705,42.4374774795728,0.0,lamp_kernel,0.000135548,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,1.08080887598942,64,19941.39817308305,86.87544522044445,0.00012973716004575404,64,2.4342527066751765,126.0
201,0.0053099909680763,3.65042913083341,-0.0094523064701852,lamp_kernel,0.845711,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0395916417046719,64,19941.39817308305,1.8852352861358472,0.7788007830714049,64,2.4342527066751765,126.0
401,0.0004575350364576,2.77102712825345,0.01650929703333,lamp_kernel,1.684522,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0229073488685776,64,19941.39817308305,0.39442383617193133,1.7332530178673953,64,2.4342527066751765,126.0
601,4.5705990436882e-05,2.54652630844157,0.0181307075172536,lamp_kernel,2.521678,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0203019382383465,64,19941.39817308305,0.11803255656144081,2.339646851925991,64,2.4342527066751765,126.0
801,9.51582990110852e-06,2.47429420398447,0.0182663530214635,lamp_kernel,3.362632,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0196562872469805,64,19941.39817308305,0.041240491876833416,3.158192909689767,64,2.4342527066751765,126.0
1001,3.75399309728164e-06,2.45010402300188,0.0182049673516567,lamp_kernel,4.201526,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.019452778010019,64,19941.39817308305,0.016324319456961042,4.4816890703380645,64,2.4342527066751765,126.0
1201,2.1579987983941e-06,2.44167127484086,0.0182790726492926,lamp_kernel,5.041522,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193826594487147,64,19941.39817308305,0.007690476014281415,5.206979827179849,64,2.4342527066751765,126.0
1401,1.938273559781e-06,2.43836434349033,0.0184445736987217,lamp_kernel,5.885736,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193559745113286,64,19941.39817308305,0.0043558592836858805,6.049647464412945,64,2.4342527066751765,126.0
1601,2.57940423545537e-06,2.4368123585564,0.0186121698416266,lamp_kernel,6.750208,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193449394319344,64,19941.39817308305,0.0028846568148908004,7.028687580589293,64,2.4342527066751765,126.0
1801,2.32954665132829e-06,2.43599322697698,0.0187422047762904,lamp_kernel,7.595888,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.019337938672485,64,19941.39817308305,0.002034043179871081,7.028687580589293,64,2.4342527066751765,126.0
2001,9.64220288191639e-07,2.43552601934363,0.0188470545273601,lamp_kernel,8.443198,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193315000226687,64,19941.39817308305,0.0013948044247657986,8.166169912567652,64,2.4342527066751765,126.0
2201,1.33070513639766e-06,2.4352142669366,0.0189142454791864,lamp_kernel,9.291706,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193297587669125,64,19941.39817308305,0.0011292291086097935,9.487735836358526,64,2.4342527066751765,126.0
2401,1.70963849320241e-06,2.43498436046764,0.0189338687535404,lamp_kernel,10.14527,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193286919791106,64,19941.39817308305,0.0009470682426072637,9.487735836358526,64,2.4342527066751765,126.0
2601,1.48020843708418e-06,2.43480831905417,0.0189761565735993,lamp_kernel,11.00325,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193268359649232,64,19941.39817308305,0.0007421186420662041,11.023176380641601,64,2.4342527066751765,126.0
2801,9.32607001958473e-07,2.43466943919442,0.0190383223328008,lamp_kernel,11.86455,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193246385409438,64,19941.39817308305,0.0005342410014902244,11.023176380641601,64,2.4342527066751765,126.0
3001,7.74846859213095e-07,2.43455749946198,0.0191019330169446,lamp_kernel,12.7309,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193234346100834,64,19941.39817308305,0.0004024234910644704,13.463738035001692,64,2.4342527066751765,126.0
3201,6.38225967015657e-07,2.43446653635713,0.0191544530053449,lamp_kernel,13.60107,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193224394388954,64,19941.39817308305,0.00029424615379735415,13.463738035001692,64,2.4342527066751765,126.0
3401,8.46904070887599e-07,2.43439423508634,0.0191961264626602,lamp_kernel,14.47504,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193222829754936,64,19941.39817308305,0.00024823832409527597,15.642631884188171,64,2.4342527066751765,126.0
3601,1.30617970187379e-06,2.43433974255185,0.0192353843505684,lamp_kernel,15.35258,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193227690463232,64,19941.39817308305,0.00025161451910945566,15.642631884188171,64,2.4342527066751765,126.0
3801,1.82591120491458e-06,2.4343021969783,0.019272242808713,lamp_kernel,16.22402,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193235105285868,64,19941.39817308305,0.0002795551149428597,15.642631884188171,64,2.4342527066751765,126.0
4001,1.01427747435365e-06,2.43427901713226,0.0192966220856407,lamp_kernel,17.10048,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193217032940936,64,19941.39817308305,0.00015410941885223798,18.17414536944306,64,2.4342527066751765,126.0
4201,4.65803914110882e-07,2.43426556614551,0.0193071169492761,lamp_kernel,17.97955,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.01932049959311,64,19941.39817308305,7.155076351144171e-05,18.17414536944306,64,2.4342527066751765,126.0
4401,3.46774573302421e-07,2.43425809947261,0.0193138900800257,lamp_kernel,18.89677,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193202022751197,64,19941.39817308305,4.908639366960612e-05,18.17414536944306,64,2.4342527066751765,126.0
4601,2.58453005978527e-07,2.43425461713176,0.0192814751460336,lamp_kernel,19.78298,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193199979943592,64,19941.39817308305,3.447553533689252e-05,21.11534442254061,64,2.4342527066751765,126.0
