iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.043678884636099126,0.05403224126031474,0.01035335662421561,0.01035335662421561
21,0.007392046406479068,0.005675220021665145,-0.0017168263848139223,-0.05555098791991641
41,0.00284578582818739,0.0022638641523381985,-0.0005819216758491917,-0.07483136717527356
61,0.0011671994973057817,0.0008829616383265857,-0.00028423785897919594,-0.08276673969800394
81,0.00045304976224708177,0.00030339139886839314,-0.00014965836337868863,-0.08681142502922264
101,0.0001747605148876949,8.789495339944523e-5,-8.686556148824968e-5,-0.08907536919445602
121,7.38623165893877e-5,2.119540372145685e-5,-5.266691286793085e-5,-0.09041817368971668
141,3.7579288312126825e-5,4.578375579373047e-6,-3.300091273275378e-5,-0.09124767164769684
161,2.21439947130417e-5,1.0678876497478087e-6,-2.1076107063293892e-5,-0.09177322326014137
181,1.3806641658679415e-5,2.8798836327004836e-7,-1.3518653295409365e-5,-0.09210981236695553
201,8.749825431304468e-6,8.680250860056946e-8,-8.663022922703898e-6,-0.09232565070271981
221,5.575417452878544e-6,2.835493630150838e-8,-5.547062516577035e-6,-0.09246388788970973
241,3.5716545970728025e-6,9.862412123441718e-9,-3.561792184949361e-6,-0.09255248679626307
261,2.3100976008731536e-6,3.612806770167136e-9,-2.3064847941029865e-6,-0.09260958300060328
281,1.5160241739674784e-6,1.3858494076375579e-9,-1.5146383245598409e-6,-0.09264679612326149
301,1.0122326354862491e-6,5.568421207953832e-10,-1.0116757933654538e-6,-0.0926714354013431
321,6.870657097664049e-7,2.362627284980457e-10,-6.868294470379069e-7,-0.09268802894576356
341,4.7185390573842666e-7,1.0786307849804615e-10,-4.717460426599286e-7,-0.09269936540094591
361,3.253132903688768e-7,5.3810714912884e-11,-3.252594796539639e-7,-0.09270717217552332
381,2.2331048813455394e-7,2.9091767579686893e-11,-2.2328139636697425e-7,-0.09271254648447248
401,1.5175680245985834e-7,1.65708426729207e-11,-1.5174023161718542e-7,-0.09271621871820755
421,1.019108586926152e-7,9.539509732250778e-12,-1.0190131918288295e-7,-0.09271869967616472
441,6.781892324978147e-8,5.41066052973922e-12,-6.781351258925174e-8,-0.09272035765076664
461,4.4946588122015076e-8,3.29817982741333e-12,-4.494328994218766e-8,-0.09272145845314562
481,2.9598715337214988e-8,2.4599852007755597e-12,-2.959625535201421e-8,-0.09272218627425016
501,1.9049506611656884e-8,2.0366975405713295e-12,-1.904746991411631e-8,-0.09272266112265051
521,1.1686583208577327e-8,1.5132408163279192e-12,-1.1685069967760999e-8,-0.09272296029752038
541,6.717868315418956e-9,9.028429233581102e-13,-6.716965472495598e-9,-0.09272313828533102
561,3.639644954772351e-9,4.4552907919678227e-13,-3.6391994256931544e-9,-0.09272323759041853
581,1.9161556483948134e-9,2.2447951684676325e-13,-1.9159311688779668e-9,-0.09272329049306506
601,1.0224334888393955e-9,1.5370474932378718e-13,-1.0222797840900716e-9,-0.0927233184213658
621,5.747201177205698e-10,1.417281691394818e-13,-5.745783895514304e-10,-0.0927233336532324
641,3.491117263589203e-10,1.4310762820592994e-13,-3.489686187307144e-10,-0.09272334252619395
661,2.316630933025061e-10,1.4339905948876057e-13,-2.3151969424301735e-10,-0.09272334814971513
681,1.6825184463711417e-10,1.4106949255828006e-13,-1.681107751445559e-10,-0.09272335205149027
701,1.3293138205856432e-10,1.372820469982506e-13,-1.3279410001156608e-10,-0.09272335500961489
721,1.1284803308700247e-10,1.3328526432008108e-13,-1.1271474782268239e-10,-0.09272335743587397
741,1.0147461678360161e-10,1.3011377080892287e-13,-1.0134450301279269e-10,-0.09272335956026354
761,9.45809075477988e-11,1.2711648800563645e-13,-9.445379105979316e-11,-0.09272336150995546
781,8.984811821699585e-11,1.2362135262127566e-13,-8.972449686437457e-11,-0.09272336334671998
801,8.625847902461173e-11,1.1984021241099326e-13,-8.613863881220074e-11,-0.09272336510242864
821,8.308899748636777e-11,1.1573586558033223e-13,-8.297326162078743e-11,-0.09272336679146675
841,8.031175830291902e-11,1.119139633796293e-13,-8.019984433953938e-11,-0.09272336842103392
861,7.791914804838257e-11,1.0857032683332654e-13,-7.781057772154924e-11,-0.09272336999951708
881,7.570475191734952e-11,1.0563959924930266e-13,-7.559911231810022e-11,-0.09272337153223523
901,7.373967702999296e-11,1.0318003234797262e-13,-7.363649699764498e-11,-0.09272337302310851
921,7.19293954512005e-11,1.010102675486504e-13,-7.182838518365185e-11,-0.09272337447692382
941,6.999377143277712e-11,9.850743053571621e-14,-6.98952640022414e-11,-0.09272337589337683
961,6.804606712912532e-11,9.568471631606054e-14,-6.795038241280926e-11,-0.09272337727081313
981,6.603176128111961e-11,9.25151366773667e-14,-6.593924614444225e-11,-0.09272337860893413
1001,6.399542002263293e-11,8.929642767095899e-14,-6.390612359496198e-11,-0.09272337990613924
1021,6.216895806900336e-11,8.654895945331372e-14,-6.208240910955005e-11,-0.09272338116477356
1041,6.045966137650535e-11,8.413930557091372e-14,-6.037552207093444e-11,-0.09272338238840222
1061,5.885826173417903e-11,8.203150163453354e-14,-5.87762302325445e-11,-0.09272338357883807
1081,5.740469268366492e-11,8.020249628598857e-14,-5.732449018737893e-11,-0.09272338473899545
